着順,枠番,馬番,馬名,年齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）,is_top3,距離,種類,天候,馬場
4.0,3,3,タガノデュード,牡4,57.0,高杉,2:12.2,クビ,2,4.4,35.3,5-4-4-4,栗東宮,502(-2),0,2200,芝,晴,良
5.0,5,5,オールセインツ,牡4,57.0,坂井,2:12.5,2,4,6.0,35.3,8-8-8-8,栗東友道,498(+14),0,2200,芝,晴,良
6.0,1,1,ナイトインロンドン,牡5,56.0,和田竜,2:12.6,クビ,8,25.6,35.3,10-10-8-10,美浦大竹,492(0),0,2200,芝,晴,良
7.0,5,6,アクアヴァーナル,牝4,54.0,吉村,2:12.7,1/2,3,4.5,36.0,2-2-2-2,栗東四位,460(0),0,2200,芝,晴,良
8.0,6,7,アスターブジエ,牡5,56.0,Ｍデム,2:12.8,1,9,28.0,35.0,12-12-12-11,栗東中竹,468(+2),0,2200,芝,晴,良
9.0,2,2,バロッサヴァレー,牝5,53.0,岩田望,2:12.9,3/4,5,11.1,35.9,5-4-4-7,栗東高野,474(-2),0,2200,芝,晴,良
10.0,7,9,レッドヴェロシティ,牡7,56.0,杉原,2:13.1,3/4,11,42.6,36.2,7-7-6-4,美浦木村,538(-2),0,2200,芝,晴,良
11.0,4,4,イヤサカ,牝7,53.0,酒井,2:13.5,2.1/2,10,40.5,36.9,1-1-1-1,美浦天間,486(-2),0,2200,芝,晴,良
12.0,6,8,エメヴィベール,牡6,53.0,松若,2:14.8,8,12,250.6,36.9,11-11-11-12,栗東宮地,574(+6),0,2200,芝,晴,良
1.0,4,5,リカントロポ,牡3,55.0,田口,1:33.8,,6,13.0,34.9,6-6,栗東梅田,474(0),1,1600,芝,晴,良
2.0,6,10,アンジョルラス,セ4,58.0,国分優,1:34.1,1.3/4,10,35.3,34.3,14-13,栗東藤野,494(-18),1,1600,芝,晴,良
3.0,3,4,ロストシークレット,牡4,58.0,中井,1:34.1,ハナ,1,3.0,35.4,4-3,栗東中内田,464(-6),1,1600,芝,晴,良
4.0,6,9,ミトノオルフェ,牡3,55.0,幸,1:34.1,アタマ,4,6.7,34.9,9-9,栗東前川,502(+8),0,1600,芝,晴,良
5.0,8,14,インヴォーグ,牝3,53.0,岩田望,1:34.1,アタマ,3,5.7,35.5,2-2,栗東福永,494(+18),0,1600,芝,晴,良
