着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),is_top3,距離,種類,天候,馬場
11.0,8,14,イサムダイヤモンド,牡3,57.0,吉田豊,2:03.1,1/2,7,51.4,35.4,14-12-9-9,美浦高橋文,480(0),0,2000,芝,晴,良
12.0,7,13,ラファヴォリット,牝3,55.0,杉原,2:03.3,1.1/4,8,58.6,35.0,12-12-14-14,美浦黒岩,464(-12),0,2000,芝,晴,良
13.0,5,8,ハッスルアニキ,牡3,57.0,原,2:03.9,3.1/2,13,123.0,36.8,6-6-2-2,美浦鈴木慎,458(-16),0,2000,芝,晴,良
14.0,8,15,ガスパール,牡3,57.0,丸山,2:04.1,1,15,175.4,36.0,12-12-12-12,美浦金成,488(-4),0,2000,芝,晴,良
15.0,3,4,フライハイ,牡3,57.0,野中,2:04.2,3/4,14,144.7,35.8,9-9-14-15,美浦中川,458(-8),0,2000,芝,晴,良
1.0,6,9,ロスパレドネス,牡2,55.0,ルメー,1:49.5,,1,2.2,35.6,6-6-6-6,美浦木村,496(0),1,1800,芝,晴,良
2.0,6,8,マイネルヴェーゼン,牡2,55.0,石川,1:49.8,2,7,28.9,35.1,10-10-9-8,美浦相沢,452(0),1,1800,芝,晴,良
3.0,8,13,ジーネキング,牡2,55.0,大野,1:50.0,1,3,5.4,36.7,3-3-3-2,美浦斎藤誠,478(0),1,1800,芝,晴,良
4.0,8,12,ミスターマーボー,牡2,55.0,原,1:50.3,2,8,29.0,36.7,5-5-5-4,美浦青木,428(0),0,1800,芝,晴,良
5.0,7,11,ニシノエースサマ,牡2,55.0,津村,1:50.4,1,6,19.6,37.1,3-3-3-4,美浦鹿戸,486(0),0,1800,芝,晴,良
6.0,7,10,セルジオ,牡2,55.0,岩部,1:50.8,2,13,255.5,36.3,11-11-8-8,美浦土田,488(0),0,1800,芝,晴,良
7.0,3,3,ニシノカルラ,牡2,55.0,野中,1:50.9,1,11,160.0,36.8,7-7-7-7,美浦和田勇,440(0),0,1800,芝,晴,良
8.0,5,6,ウールヴヘジン,牡2,54.0,☆横山琉,1:51.5,3.1/2,12,173.1,36.6,9-8-10-10,美浦青木,428(0),0,1800,芝,晴,良
9.0,1,1,モーリア,牝2,55.0,菅原明,1:51.6,3/4,5,9.5,38.6,1-1-1-1,美浦伊藤大,450(0),0,1800,芝,晴,良
10.0,4,4,リベッチオ,牡2,55.0,荻野極,1:51.9,2,4,8.9,38.8,2-2-2-2,栗東杉山晴,492(0),0,1800,芝,晴,良
11.0,5,7,サーブルディアマン,牡2,55.0,丸山,1:51.9,アタマ,9,29.4,36.9,12-12-11-10,栗東坂口,464(0),0,1800,芝,晴,良
12.0,4,5,コスモメイウェザー,牡2,55.0,石橋脩,1:52.6,4,10,73.4,37.6,13-13-11-12,美浦高木,480(0),0,1800,芝,晴,良
13.0,2,2,パッセージピーク,牡2,55.0,戸崎圭,1:53.2,3.1/2,2,4.3,38.0,7-8-13-13,美浦田村,486(0),0,1800,芝,晴,良
1.0,2,2,ハッピーエンジェル,牝2,52.0,▲遠藤,1:10.2,,2,3.3,34.8,3-3,美浦武市,418(0),1,1200,芝,晴,良
2.0,6,6,ハイティー,牝2,55.0,ルメー,1:10.7,3,1,1.4,35.5,2-2,美浦木村,476(0),1,1200,芝,晴,良
3.0,7,7,セイウンアインス,牝2,55.0,武藤,1:10.8,3/4,3,7.9,35.7,1-1,美浦武藤,446(0),1,1200,芝,晴,良
4.0,1,1,アビエーション,牝2,55.0,内田博,1:12.0,7,5,41.5,35.7,7-7,美浦佐藤吉,458(0),0,1200,芝,晴,良
5.0,3,3,ビースタニング,牝2,55.0,原,1:12.8,5,4,14.3,37.2,4-4,美浦小手川,476(0),0,1200,芝,晴,良
6.0,5,5,ナンヨーラーク,牝2,52.0,▲佐藤,1:13.0,1.1/4,7,57.9,37.0,5-5,美浦杉浦,400(0),0,1200,芝,晴,良
7.0,4,4,コパノセビリア,牝2,55.0,丸山,1:13.4,2.1/2,6,43.0,37.4,5-5,美浦土田,432(0),0,1200,芝,晴,良
1.0,1,2,ルージュアズライト,牝5,56.0,荻野極,1:07.6,,5,11.4,36.2,1-1,美浦森一,456(+4),1,1150,ダート,晴,良
2.0,2,4,ゴールドハンマー,牝3,53.0,横山典,1:08.2,3.1/2,1,1.6,36.7,2-2,美浦村田,488(+6),1,1150,ダート,晴,良
3.0,4,8,アシャカトベ,牡3,52.0,▲石神道,1:08.8,3.1/2,3,9.3,36.5,10-7,美浦小笠,520(0),1,1150,ダート,晴,良
4.0,3,5,ラヴァグロウ,牝5,56.0,丸田,1:09.1,2,10,59.7,36.3,13-12,美浦畠山,446(-4),0,1150,ダート,晴,良
5.0,3,6,リクエイ,牝3,50.0,▲石田,1:09.2,1/2,7,35.1,36.6,11-10,美浦竹内,420(+2),0,1150,ダート,晴,良
6.0,8,16,イズルード,牡3,55.0,戸崎圭,1:09.3,1/2,4,11.3,37.2,8-8,美浦田島,474(+2),0,1150,ダート,晴,良
7.0,4,7,マサノヒーロー,牡4,58.0,田辺,1:09.5,3/4,9,43.1,37.8,4-4,美浦大竹,474(-2),0,1150,ダート,晴,良
8.0,1,1,ブエナディオサ,牝6,56.0,津村,1:09.6,3/4,8,36.1,37.8,4-4,美浦奥平,458(-10),0,1150,ダート,晴,良
9.0,7,13,ブラックトルネード,牡3,55.0,武藤,1:09.8,3/4,16,355.8,37.3,11-10,美浦佐藤吉,454(-4),0,1150,ダート,晴,良
10.0,6,12,ニシノジーク,セ4,58.0,江田照,1:09.9,1/2,13,106.1,37.1,13-12,美浦奥平,500(-20),0,1150,ダート,晴,良
11.0,5,9,ライヴドライバー,牡3,55.0,内田博,1:09.9,クビ,6,23.8,36.7,15-14,美浦尾形,518(+10),0,1150,ダート,晴,良
12.0,8,15,ポップグルーヴ,牝3,50.0,▲佐藤,1:10.0,3/4,14,241.4,38.0,7-8,美浦小手川,386(-10),0,1150,ダート,晴,良
13.0,5,10,レーヴレジェンド,牡3,55.0,丸山,1:10.1,クビ,12,79.4,38.6,2-3,美浦金成,470(-24),0,1150,ダート,晴,良
14.0,7,14,シウン,牝6,56.0,原,1:10.2,1/2,15,274.1,37.1,15-14,美浦矢野,482(+12),0,1150,ダート,晴,良
15.0,2,3,エベリンテソーロ,牝3,53.0,菊沢,1:10.4,1.1/2,11,76.2,38.7,4-6,美浦加藤士,466(+4),0,1150,ダート,晴,良
16.0,6,11,スターランウェイ,牝3,52.0,☆横山琉,1:10.7,1.1/2,2,5.9,38.5,9-16,美浦斎藤誠,446(0),0,1150,ダート,晴,良
1.0,4,4,シャイニースイフト,牡5,55.0,▲舟山,1:48.3,,7,53.2,34.9,1-1-1-1,美浦菊川,434(-8),1,1800,芝,晴,良
2.0,5,5,ディバイングレース,牝5,56.0,内田博,1:48.6,1.3/4,5,14.2,34.3,7-8-4-4,美浦蛯名正,450(+2),1,1800,芝,晴,良
3.0,3,3,ソルトブリーズ,牡4,58.0,戸崎圭,1:48.7,3/4,1,2.3,34.7,3-3-3-2,美浦田中剛,448(+2),1,1800,芝,晴,良
4.0,2,2,ミラーダカリエンテ,牝3,53.0,石川,1:48.8,1/2,4,5.0,35.0,2-2-2-2,美浦相沢,478(+4),0,1800,芝,晴,良
5.0,8,8,エナジーショット,牝3,52.0,☆横山琉,1:49.0,1.1/2,2,3.6,34.8,5-4-4-4,美浦矢嶋,426(+12),0,1800,芝,晴,良
6.0,7,7,バセリーナ,牡3,52.0,▲石神道,1:49.1,3/4,6,33.5,34.6,6-6-7-6,美浦松山,444(-4),0,1800,芝,晴,良
7.0,6,6,フロスティクォーツ,牡7,55.0,▲石田,1:49.6,3,9,245.2,34.5,9-9-9-8,美浦加藤和,472(-12),0,1800,芝,晴,良
8.0,8,9,チェイスザウィンド,牡4,58.0,菊沢,1:50.1,3,8,72.4,35.4,7-7-8-8,美浦石栗,496(-4),0,1800,芝,晴,良
,1,1,トライデントスピア,牡4,58.0,原,,,3,4.6,,4-4-4-7,美浦田中博,516(-6),0,1800,芝,晴,良
1.0,1,1,マックアルイーン,牡3,55.0,ルメー,1:08.1,,1,1.8,34.4,3-2,美浦木村,540(+10),1,1200,芝,晴,良
2.0,3,3,ヴァンヴィーヴ,牡4,58.0,戸崎圭,1:08.2,1/2,3,5.3,34.4,5-5,栗東牧浦,504(-4),1,1200,芝,晴,良
3.0,7,8,ソルレース,牝4,56.0,舟山,1:08.3,1/2,2,3.4,35.1,1-1,美浦田中博,464(-2),1,1200,芝,晴,良
4.0,2,2,ディアドコス,牡5,58.0,小沢,1:08.4,3/4,4,17.0,34.5,5-6,栗東羽月,486(-14),0,1200,芝,晴,良
5.0,5,5,ニシノピウモッソ,牡5,58.0,津村,1:08.5,3/4,6,22.5,34.4,8-6,美浦西田,466(-2),0,1200,芝,晴,良
6.0,7,9,ジャガード,牡7,58.0,吉田豊,1:08.8,1.3/4,10,98.4,33.8,11-11,美浦和田雄,424(+4),0,1200,芝,晴,良
7.0,6,6,ライクアフラワー,牡5,58.0,石神深,1:08.9,3/4,5,19.2,35.1,5-6,美浦松永康,508(+4),0,1200,芝,晴,良
8.0,4,4,エクセルゴールド,牡4,58.0,菊沢,1:09.0,クビ,7,29.8,35.4,3-2,美浦武市,478(+2),0,1200,芝,晴,良
9.0,6,7,タリエシン,牡5,58.0,丸山,1:09.0,ハナ,11,138.3,34.4,10-10,美浦金成,438(0),0,1200,芝,晴,良
10.0,8,10,ナファロア,牡4,58.0,原,1:09.4,2.1/2,9,91.1,35.3,8-6,美浦菊沢,464(0),0,1200,芝,晴,良
11.0,8,11,トレブランシュ,牝5,56.0,石川,1:09.6,1.1/4,8,80.5,36.2,2-2,美浦伊藤伸,434(-2),0,1200,芝,晴,良
1.0,7,13,ジャスパーロブスト,セ4,58.0,丸山,1:44.5,,1,2.4,37.1,1-1-1-1,栗東森秀,502(+2),1,1700,ダート,晴,良
2.0,8,14,クロースコンバット,牡6,58.0,原,1:44.7,1.1/4,6,17.8,37.2,2-2-2-2,美浦青木,486(-10),1,1700,ダート,晴,良
3.0,5,8,デコラシオン,牡6,58.0,戸崎圭,1:44.9,3/4,5,11.4,37.1,7-4-4-3,美浦高木,516(-6),1,1700,ダート,晴,良
4.0,4,7,オンザライン,セ7,58.0,横山琉,1:45.1,1.1/4,10,72.4,36.9,9-8-7-7,美浦大和田,448(-12),0,1700,ダート,晴,良
5.0,8,15,ブレスワード,牡4,58.0,ルメー,1:45.5,2,3,7.7,37.7,3-3-4-3,美浦中舘,510(+2),0,1700,ダート,晴,良
6.0,3,4,ハギノサステナブル,牡5,58.0,小沢,1:45.5,アタマ,2,3.3,36.6,7-8-12-11,栗東高野,484(-2),0,1700,ダート,晴,良
7.0,6,11,フームスムート,牡8,58.0,武藤,1:45.5,クビ,11,75.6,37.4,10-10-7-8,美浦水野,530(-4),0,1700,ダート,晴,良
8.0,3,5,スズノテレサ,牝6,56.0,山本咲,1:45.7,1.1/4,12,135.0,36.6,12-13-14-13,美浦深山,452(+12),0,1700,ダート,晴,良
9.0,1,1,エスティメート,牡6,58.0,丸田,1:45.7,クビ,13,192.6,36.5,10-10-15-15,美浦大和田,458(-4),0,1700,ダート,晴,良
10.0,6,10,ソレルビュレット,牡4,58.0,菅原明,1:45.7,ハナ,4,8.2,37.8,4-4-6-3,美浦宮田,530(+6),0,1700,ダート,晴,良
11.0,5,9,ティアップリオン,牡7,58.0,江田照,1:46.2,3,14,208.3,37.7,12-12-10-9,美浦奥平,488(-4),0,1700,ダート,晴,良
12.0,4,6,クーアフュルスト,牡4,58.0,石橋脩,1:46.4,1,8,27.2,37.5,4-4-12-13,美浦大和田,474(+4),0,1700,ダート,晴,良
13.0,2,2,タガノアレハンドラ,牝5,56.0,国分恭,1:46.5,1/2,7,24.5,39.0,15-15-2-3,栗東西園翔,504(+4),0,1700,ダート,晴,良
14.0,7,12,グレノークス,牝5,56.0,杉原,1:46.9,2,9,42.6,38.8,4-4-7-9,美浦宮田,486(-4),0,1700,ダート,晴,良
15.0,2,3,ルーンファクター,牡5,58.0,吉田豊,1:47.0,クビ,15,310.5,38.5,14-13-10-11,美浦畠山,468(+6),0,1700,ダート,晴,良
1.0,1,1,エキサイトバイオ,牡3,53.0,荻野極,1:46.9,,4,7.6,34.8,7-8-7-7,栗東今野,472(-6),1,1800,芝,晴,良
2.0,4,5,センツブラッド,牡3,56.0,菅原明,1:47.0,1/2,2,5.7,35.2,6-5-4-4,栗東斉藤崇,460(0),1,1800,芝,晴,良
3.0,5,7,インパクトシー,牡3,53.0,横山琉,1:47.1,クビ,8,14.0,35.0,7-7-7-4,美浦大竹,526(+12),1,1800,芝,晴,良
4.0,4,6,ビーオンザカバー,牡3,55.0,田辺,1:47.2,1/2,5,8.1,34.4,14-14-14-14,美浦伊藤圭,472(0),0,1800,芝,晴,良
5.0,8,14,ショウナンマクベス,牡3,54.0,津村,1:47.2,クビ,10,26.6,35.6,2-2-2-2,美浦武市,482(+2),0,1800,芝,晴,良
6.0,7,11,トレサフィール,牡3,55.0,横山典,1:47.2,アタマ,1,5.0,35.7,1-1-1-1,美浦稲垣,472(+4),0,1800,芝,晴,良
7.0,6,9,モティスフォント,牡3,54.0,ルメー,1:47.3,クビ,6,8.1,35.0,11-10-9-8,美浦田村,490(-4),0,1800,芝,晴,良
8.0,3,3,スナークピカソ,牡3,53.0,小沢,1:47.5,1,9,15.1,35.8,3-3-3-3,栗東高橋一,466(+2),0,1800,芝,晴,良
9.0,3,4,レーヴブリリアント,牡3,54.0,舟山,1:47.6,3/4,11,31.3,35.2,11-10-11-8,美浦田中博,458(+10),0,1800,芝,晴,良
10.0,7,12,バズアップビート,牡3,55.0,戸崎圭,1:47.6,クビ,3,7.4,35.7,4-4-5-4,栗東友道,506(-2),0,1800,芝,晴,良
11.0,2,2,フクノブルーレイク,牡3,57.0,松岡,1:48.2,3.1/2,7,8.8,35.9,9-8-9-8,美浦竹内,450(-6),0,1800,芝,晴,良
12.0,8,13,チョングク,牡3,52.0,丸田,1:48.2,アタマ,14,122.1,35.7,13-13-12-12,美浦南田,476(0),0,1800,芝,晴,良
13.0,5,8,エーオーキング,牡3,55.0,大野,1:48.3,クビ,12,31.8,35.7,9-10-12-12,美浦久保田,454(+6),0,1800,芝,晴,良
14.0,6,10,アタラシイカドデニ,牡3,53.0,内田博,1:48.7,2,13,113.5,36.7,4-5-6-8,美浦上原博,516(+10),0,1800,芝,晴,良
1.0,3,4,アタリダイキチ,牡3,52.0,▲遠藤,1:09.4,,1,3.8,35.4,5-5,美浦西田,488(+2),1,1200,芝,晴,良
2.0,8,13,レオプルミエール,牡5,55.0,▲佐藤,1:09.4,クビ,13,227.2,35.3,6-5,美浦杉浦,422(+8),1,1200,芝,晴,良
3.0,5,8,ニシノアヤカゼ,牝4,55.0,☆横山琉,1:09.5,1/2,7,14.9,35.2,9-10,美浦鈴木伸,456(-6),1,1200,芝,晴,良
4.0,6,10,クリノゴッホ,セ5,55.0,▲石田,1:09.6,3/4,10,52.8,35.1,10-10,美浦岩戸,448(-6),0,1200,芝,晴,良
5.0,7,11,ザカート,牝3,53.0,大野,1:09.7,1/2,5,7.3,35.6,6-7,美浦高柳瑞,456(0),0,1200,芝,晴,良
6.0,4,5,ツィスカリーゼ,牡5,58.0,的場,1:09.8,3/4,14,261.4,34.3,14-13,美浦的場,452(-2),0,1200,芝,晴,良
7.0,7,12,イェルマーク,牡4,58.0,戸崎圭,1:09.9,1/2,6,8.2,36.0,4-4,美浦西田,500(+10),0,1200,芝,晴,良
8.0,6,9,シャトーボビー,牡5,55.0,▲石神道,1:10.1,1,9,35.4,36.3,3-2,美浦菊川,470(-9),0,1200,芝,晴,良
9.0,5,7,ウエストチェリー,牝4,56.0,柴田大,1:10.2,1/2,11,76.5,35.8,10-8,美浦粕谷,450(0),0,1200,芝,晴,良
10.0,2,2,オコジュ,牝5,56.0,内田博,1:10.2,クビ,8,16.6,36.0,8-8,美浦矢嶋,466(-2),0,1200,芝,晴,良
11.0,1,1,テンプーシャオン,牡5,58.0,小沢,1:10.3,1/2,2,4.8,35.9,10-10,美浦和田勇,430(0),0,1200,芝,晴,良
12.0,4,6,アルデショワ,牝3,53.0,津村,1:10.3,アタマ,3,5.8,36.8,1-1,美浦田中博,442(-8),0,1200,芝,晴,良
13.0,8,14,リコーシュペル,牝3,53.0,山本咲,1:12.3,大,12,152.4,38.7,2-2,地方田中一,478(-12),0,1200,芝,晴,良
,3,3,グッドヴァイブス,牡4,58.0,菅原明,,,4,6.5,,13-14,美浦高柳瑞,482(0),0,1200,芝,晴,良
1.0,5,5,オーロイプラータ,牡5,60.0,小野寺,3:11.6,,3,5.4,13.4,3-3-2-2,栗東宮本,554(+6),1,2860,芝,晴,良
2.0,8,12,ロードプレジール,牡7,60.0,小牧加,3:11.9,1.3/4,2,3.0,13.4,3-3-2-2,栗東佐藤悠,504(0),1,2860,芝,晴,良
3.0,1,1,フォルガイル,牡4,57.0,▲水沼,3:12.3,2.1/2,10,65.9,13.4,8-7-6-4,美浦加藤和,432(-2),1,2860,芝,晴,良
4.0,7,9,ストラクチャー,セ4,60.0,草野,3:12.3,アタマ,11,94.7,13.4,9-9-7-6,美浦和田郎,442(+8),0,2860,芝,晴,良
5.0,3,3,カイコウ,セ4,60.0,五十嵐,3:12.9,3.1/2,7,23.8,13.5,6-6-8-7,美浦田島,466(+6),0,2860,芝,晴,良
6.0,8,11,グラヴィテ,牝7,58.0,黒岩,3:12.9,アタマ,4,8.7,13.5,1-1-1-1,栗東藤野,496(-10),0,2860,芝,晴,良
7.0,2,2,トモジャオッシュ,牡4,60.0,難波,3:13.3,2,6,17.4,13.5,2-2-4-5,栗東大根田,496(+10),0,2860,芝,晴,良
8.0,6,8,グランナヴィール,牡4,60.0,上野,3:16.1,大,1,2.6,13.7,6-7-9-9,美浦堀内,540(-16),0,2860,芝,晴,良
9.0,7,10,ユウトザキンパツ,牡4,57.0,▲井上,3:16.5,2.1/2,9,53.7,13.7,10-10-10-10,栗東小崎,482(-16),0,2860,芝,晴,良
10.0,6,7,ジュリアスローズ,牝4,58.0,江田勇,3:16.5,ハナ,12,123.6,13.7,3-3-4-7,美浦粕谷,470(+16),0,2860,芝,晴,良
11.0,5,6,シュガーコルト,セ6,60.0,高田,3:19.8,大,8,36.6,14.0,11-11-11-11,栗東宮地,506(-10),0,2860,芝,晴,良
12.0,4,4,ウインメラナイト,牡4,60.0,森一,3:19.9,3/4,5,15.1,14.0,12-12-12-12,栗東緒方,516(-6),0,2860,芝,晴,良
1.0,8,17,ラインピクシー,牝3,55.0,坂井瑠,1:08.2,,1,2.2,34.6,2-2,栗東長谷川,476(+2),1,1200,芝,晴,良
2.0,7,13,メイショウマサツラ,牡3,57.0,松山,1:09.0,5,2,3.4,35.3,2-2,栗東本田,500(-4),1,1200,芝,晴,良
3.0,7,14,トウカイリュタン,牝3,55.0,秋山稔,1:09.1,1/2,8,24.0,34.9,9-7,栗東北出,396(+6),1,1200,芝,晴,良
4.0,1,1,スマートロベール,牝3,54.0,☆西塚,1:09.1,ハナ,6,15.6,35.4,2-4,栗東笹田,430(+12),0,1200,芝,晴,良
5.0,2,4,ドゥラルーナ,牝3,55.0,角田大,1:09.2,クビ,4,12.7,34.9,10-9,栗東清水久,454(+4),0,1200,芝,晴,良
6.0,5,9,ウィンビュー,牝3,55.0,小崎,1:09.4,1.1/4,16,181.8,35.4,6-5,栗東畑端,430(-16),0,1200,芝,晴,良
7.0,6,11,ニーナバイリッカ,牝3,55.0,幸,1:09.4,ハナ,11,62.2,34.6,13-14,栗東松下,434(+2),0,1200,芝,晴,良
8.0,2,3,サトノスピカ,牝3,55.0,団野,1:09.6,1,3,12.4,34.7,13-11,栗東須貝,462(0),0,1200,芝,晴,良
9.0,5,10,アルピノ,牡3,57.0,川須,1:09.8,1.1/2,5,15.2,35.3,11-11,栗東千田,454(-4),0,1200,芝,晴,良
10.0,4,7,ニホンピロリーチ,牝3,55.0,田口,1:10.0,1.1/2,14,87.6,36.5,1-1,栗東大橋,448(+2),0,1200,芝,晴,良
11.0,8,15,ハクサンサクヤヒメ,牝3,53.0,◇永島,1:10.1,クビ,15,178.2,35.6,11-11,栗東高橋康,438(-2),0,1200,芝,晴,良
12.0,4,8,ワンダーエルピス,牝3,51.0,★河原田,1:10.3,1.1/4,12,71.8,35.5,13-14,栗東牧田,396(-2),0,1200,芝,晴,良
13.0,1,2,デリツィオーサ,牝3,55.0,亀田,1:10.5,1.1/2,10,57.4,36.4,6-7,栗東坂口,464(-4),0,1200,芝,晴,良
14.0,3,6,ナイトエラント,牡3,56.0,☆高杉,1:11.5,6,7,18.8,37.5,6-9,栗東藤原,502(+12),0,1200,芝,晴,良
15.0,8,16,ソニックサンライズ,牝3,55.0,松若,1:11.5,ハナ,9,24.3,37.6,5-5,栗東東田,420(-10),0,1200,芝,晴,良
16.0,6,12,テイエムトップバン,牝3,55.0,高倉,1:12.3,5,17,357.7,36.3,17-17,栗東畑端,470(-8),0,1200,芝,晴,良
17.0,3,5,テイエムパンサー,牝3,55.0,水口,1:12.3,アタマ,13,79.8,37.0,16-16,栗東浜田,460(+2),0,1200,芝,晴,良
1.0,4,7,サンライズロジャー,牡3,57.0,幸,2:44.4,,2,4.3,36.2,8-5-4-3,栗東加藤公,516(-8),1,2600,芝,晴,良
2.0,2,4,メイショウサノサ,牝3,55.0,酒井,2:44.5,1,7,21.6,36.0,9-9-6-6,栗東庄野,432(+12),1,2600,芝,晴,良
3.0,1,1,ポテチ,牡3,57.0,高倉稜,2:44.5,クビ,1,3.1,36.5,1-1-1-1,栗東鈴木孝,404(+6),1,2600,芝,晴,良
4.0,1,2,スピントロニクス,牡3,57.0,松山,2:44.6,クビ,4,7.6,36.3,4-5-4-3,栗東池江,518(0),0,2600,芝,晴,良
5.0,3,5,ダイヤノエース,牡3,57.0,国分優,2:44.7,3/4,9,31.4,35.7,11-12-12-12,栗東清水久,532(0),0,2600,芝,晴,良
6.0,5,9,アファリン,牝3,52.0,▲田山,2:44.9,1,11,42.4,36.2,6-5-9-8,栗東新谷,476(+12),0,2600,芝,晴,良
7.0,8,16,ハチワレ,牝3,53.0,◇今村,2:45.0,1/2,8,27.5,35.3,14-14-14-13,栗東寺島,452(+4),0,2600,芝,晴,良
8.0,7,14,ゴートゥーミジョカ,牝3,55.0,水口,2:45.8,5,10,40.4,37.1,9-9-9-8,栗東宮本,442(+10),0,2600,芝,晴,良
9.0,3,6,ランスオブフェイス,牝3,54.0,☆高杉,2:45.8,クビ,6,13.7,37.3,2-3-6-8,栗東奥村豊,476(-6),0,2600,芝,晴,良
10.0,5,10,クリノアラジン,牡3,57.0,松若,2:46.1,2,15,234.6,37.7,2-3-6-6,栗東谷,438(-6),0,2600,芝,晴,良
11.0,6,11,メイショウハリソン,牡3,57.0,坂井,2:46.3,3/4,3,5.6,38.2,11-5-2-2,栗東石橋,470(-4),0,2600,芝,晴,良
12.0,2,3,コパカバーナ,牝3,55.0,団野,2:46.5,1.1/4,5,8.1,38.4,4-2-2-3,栗東森田,378(-22),0,2600,芝,晴,良
