着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),is_top3,距離,種類,天候,馬場
5.0,4,5,トゥインクルアップ,牝3,50.0,▲田山,0:59.0,3/4,5,10.1,36.0,5-5,栗東杉山佳,474(-2),0,1000,ダート,晴,良
6.0,4,6,トモジャアルマンド,牡8,58.0,国分優,0:59.1,3/4,10,93.3,35.9,7-6,栗東大根田,498(-12),0,1000,ダート,晴,良
7.0,5,7,フォティック,牡5,58.0,酒井,0:59.1,ハナ,9,41.0,35.8,9-6,栗東飯田,470(-14),0,1000,ダート,晴,良
8.0,8,14,イマージョン,牡3,55.0,亀田温,0:59.2,クビ,6,14.2,36.5,3-4,栗東高野,498(-4),0,1000,ダート,晴,良
9.0,6,9,フェールブリエ,牡4,57.0,☆高杉,1:00.2,6,13,228.9,36.6,12-11,栗東緒方,434(+2),0,1000,ダート,晴,良
10.0,3,3,シュークリーム,牝4,55.0,☆西塚,1:00.3,3/4,7,22.3,36.7,12-11,栗東西村,426(-12),0,1000,ダート,晴,良
11.0,6,10,サイモンオリーブ,牝5,54.0,◇今村,1:00.4,3/4,11,110.1,36.7,14-14,栗東梅田,474(+8),0,1000,ダート,晴,良
12.0,3,4,ピコサン,牡4,58.0,田口,1:00.6,1,12,133.9,37.4,7-9,栗東宮地,492(-8),0,1000,ダート,晴,良
13.0,5,8,ロードヴァルカン,牡3,55.0,団野,1:00.6,ハナ,8,35.1,37.1,10-13,栗東中村,460(+8),0,1000,ダート,晴,良
14.0,7,11,シンゼンシャイン,牡7,54.0,★河原田,1:00.8,1.1/2,14,233.2,37.7,5-6,栗東飯田,492(-2),0,1000,ダート,晴,良
1.0,6,6,レディーミコノス,牝3,53.0,松山,1:47.5,,2,4.1,35.0,2-2-4-7,栗東寺島,460(+6),1,1800,芝,晴,良
2.0,1,1,ワンモアスマイル,牡3,55.0,高杉,1:47.6,3/4,1,2.5,34.9,5-5-7-3,栗東藤岡,456(+4),1,1800,芝,晴,良
3.0,4,4,スター,牝4,56.0,Ｍデム,1:47.7,1/2,4,5.1,35.2,8-8-4-2,栗東橋口,474(+8),1,1800,芝,晴,良
4.0,3,3,キーチパルフェ,牡4,58.0,亀田,1:47.8,3/4,6,25.3,35.2,6-6-4-5,栗東高柳大,476(-8),0,1800,芝,晴,良
5.0,5,5,スライビングロード,牝3,53.0,川田将,1:48.1,1.1/2,3,4.4,35.7,4-3-3-3,栗東福永,454(0),0,1800,芝,晴,良
6.0,8,8,フォーキャンドルズ,牡3,55.0,団野,1:48.2,クビ,5,7.4,36.3,3-3-1-1,栗東本田,498(+2),0,1800,芝,晴,良
7.0,2,2,ビッキーファースト,牡3,55.0,坂井,1:49.0,5,7,48.7,37.0,1-1-2-6,栗東武幸,488(0),0,1800,芝,晴,良
8.0,7,7,ウフフトルンナ,牝4,56.0,国分優,1:49.1,1/2,8,184.3,36.1,7-7-8-7,栗東大根田,524(+2),0,1800,芝,晴,良
1.0,6,11,メイショウフウドウ,牡4,58.0,高杉,1:45.6,,4,10.5,37.5,2-2-2-2,栗東藤原,490(+2),1,1700,ダート,晴,良
2.0,6,10,ダノンスウィッチ,牡4,58.0,松若,1:45.8,1.1/2,5,10.6,37.3,13-14-5-3,栗東東田,486(-6),1,1700,ダート,晴,良
3.0,5,9,ハリーケーン,牡3,55.0,水口,1:45.9,1/2,1,2.3,37.9,1-1-1-1,栗東大根田,512(+2),1,1700,ダート,晴,良
4.0,3,5,コパノアントニオ,牡4,58.0,Ｍデム,1:46.2,2,11,43.6,37.3,11-11-11-7,栗東梅田,478(-4),0,1700,ダート,晴,良
5.0,4,6,クリノクリスタル,牝5,56.0,酒井,1:46.6,2,13,64.6,38.1,9-8-5-5,栗東大橋,476(+4),0,1700,ダート,晴,良
6.0,2,3,バトンインディ,牡4,58.0,幸,1:46.6,ハナ,7,19.7,37.6,5-4-11-12,栗東安達,458(-8),0,1700,ダート,晴,良
7.0,4,7,マサハヤウォルズ,牡5,58.0,長岡,1:46.7,3/4,12,49.1,38.1,6-6-8-7,栗東今野,468(-4),0,1700,ダート,晴,良
8.0,8,15,ワイノナオミ,牝4,56.0,永島,1:46.7,アタマ,10,34.5,37.7,11-11-11-10,栗東畑端,466(+8),0,1700,ダート,晴,良
9.0,5,8,オースミリン,牝6,56.0,団野,1:46.9,1.1/2,9,21.4,37.8,13-13-15-13,栗東荒川,466(+8),0,1700,ダート,晴,良
10.0,1,1,タイセイウォリアー,牡5,58.0,田口,1:47.1,1.1/4,6,18.8,38.8,3-2-3-3,栗東大橋,502(0),0,1700,ダート,晴,良
11.0,7,12,スナークシュンソウ,牡7,58.0,小崎,1:47.5,2.1/2,15,91.7,38.6,9-10-11-13,栗東野中,516(-12),0,1700,ダート,晴,良
12.0,7,13,グーヴェルナイユ,牡4,58.0,松山弘,1:47.8,1.3/4,3,7.3,39.5,3-4-3-5,栗東武幸,474(+10),0,1700,ダート,晴,良
13.0,2,2,スマートハンター,牡5,58.0,藤懸,1:48.2,2,14,68.1,39.5,15-15-8-10,栗東中村,504(-2),0,1700,ダート,晴,良
14.0,3,4,ダブルジャッジ,牡4,58.0,西塚,1:48.3,1/2,2,5.5,39.9,6-6-5-7,栗東笹田,512(+10),0,1700,ダート,晴,良
15.0,8,14,ストームバンガード,牡4,58.0,秋山稔,1:48.7,2.1/2,8,20.0,40.0,6-8-8-13,栗東岡田,490(-4),0,1700,ダート,晴,良
1.0,3,3,ヤマニンアンフィル,牝6,55.0,団野,1:07.8,,2,5.8,33.9,8-7,栗東斉藤崇,490(+4),1,1200,芝,晴,良
2.0,4,4,ミルテンベルク,牡4,57.0,坂井瑠,1:07.9,3/4,4,6.6,34.4,4-4,栗東武英,496(+12),1,1200,芝,晴,良
3.0,4,5,レッドエヴァンス,セ4,56.0,松山,1:08.1,3/4,1,3.1,34.6,4-4,栗東東田,490(0),1,1200,芝,晴,良
4.0,6,9,パクスロマーナ,牝5,54.0,川須,1:08.1,ハナ,7,13.7,34.9,2-2,栗東加藤公,436(0),0,1200,芝,晴,良
5.0,7,11,トールキン,牡5,56.0,幸,1:08.1,クビ,5,11.1,34.4,7-7,栗東西園正,500(+4),0,1200,芝,晴,良
6.0,5,6,ウルトラソニック,牡7,53.0,田口,1:08.2,クビ,11,52.7,34.1,10-10,栗東中尾,466(-22),0,1200,芝,晴,良
7.0,1,1,エイムインライフ,牝5,53.0,高杉,1:08.2,クビ,3,6.0,34.7,4-4,栗東角田,488(0),0,1200,芝,晴,良
8.0,6,8,メイショウウネビ,牡6,55.0,角田和,1:08.3,クビ,9,18.5,34.0,12-11,栗東本田,490(-4),0,1200,芝,晴,良
9.0,2,2,トーホウディアス,牡7,55.0,長岡禎,1:08.4,3/4,8,16.6,34.6,8-7,栗東小栗,464(-6),0,1200,芝,晴,良
10.0,7,10,ショウナンマッハ,セ6,53.0,亀田,1:08.6,1.1/4,13,130.4,34.5,10-11,栗東茶木,490(-6),0,1200,芝,晴,良
11.0,8,13,ベンダバリラビア,牡5,54.0,今村,1:08.7,1/2,12,116.8,34.1,13-13,栗東寺島,534(0),0,1200,芝,晴,良
12.0,8,12,リシャールケリー,牡5,55.0,松若,1:09.2,2.1/2,6,11.3,36.0,2-3,栗東茶木,506(-10),0,1200,芝,晴,良
13.0,5,7,ウォータールグラン,牝6,52.0,酒井,1:09.5,1.3/4,10,21.4,36.3,1-1,栗東秋山,510(+8),0,1200,芝,晴,良
1.0,3,5,オンザムーブ,牡3,55.0,坂井,1:45.7,,4,6.5,38.9,6-6-4-4,栗東矢作,506(0),1,1700,ダート,晴,良
2.0,7,13,タケルハーロック,牡3,55.0,松山,1:45.7,クビ,3,5.6,39.3,2-2-2-1,栗東高柳大,496(+8),1,1700,ダート,晴,良
3.0,1,2,ライノ,牡3,55.0,団野,1:46.2,3,1,2.6,39.2,7-8-7-6,栗東高野,520(0),1,1700,ダート,晴,良
4.0,5,9,ニューオーリンズ,牡3,55.0,高倉,1:46.5,2,5,14.2,40.2,1-1-1-2,栗東杉山晴,524(0),0,1700,ダート,晴,良
5.0,6,12,ヴェーヌドール,牡3,55.0,小崎,1:46.7,3/4,13,91.4,40.0,7-6-4-6,栗東武英,524(-4),0,1700,ダート,晴,良
6.0,2,4,ユウェンタース,牝3,53.0,秋山稔,1:46.7,クビ,16,246.6,39.4,10-10-8-8,栗東宮,490(+2),0,1700,ダート,晴,良
7.0,5,10,タイセイレグノ,牡3,54.0,☆高杉,1:46.8,クビ,10,34.8,38.7,11-11-15-14,栗東浜田,474(+12),0,1700,ダート,晴,良
8.0,4,8,レガッタ,牡4,58.0,太宰,1:46.9,3/4,12,84.5,39.4,12-11-10-11,栗東昆,484(+12),0,1700,ダート,晴,良
9.0,4,7,サンディエゴ,牡3,54.0,☆西塚洸,1:47.0,クビ,8,32.1,39.8,4-5-8-8,栗東清水久,498(+8),0,1700,ダート,晴,良
10.0,8,16,テルアスワッド,牡3,55.0,酒井,1:47.0,アタマ,9,32.7,37.8,16-16-16-16,栗東須貝,504(+6),0,1700,ダート,晴,良
11.0,7,14,ブリオメンテ,牡4,58.0,川田,1:47.0,クビ,2,4.6,40.5,3-3-3-3,栗東千田,558(+2),0,1700,ダート,晴,良
12.0,1,1,ヴォルオヴァン,牡3,52.0,▲田山,1:47.2,3/4,14,140.3,39.3,12-13-14-11,栗東新谷,460(+6),0,1700,ダート,晴,良
13.0,3,6,ブラックタロー,牡3,55.0,幸,1:47.3,3/4,7,19.5,39.7,14-14-12-10,栗東鈴木孝,502(+14),0,1700,ダート,晴,良
14.0,2,3,オリエンタルキング,牡6,58.0,水口,1:47.3,クビ,6,17.6,39.8,9-9-10-11,栗東羽月,488(-10),0,1700,ダート,晴,良
15.0,6,11,テンカオーライ,牡5,56.0,◇永島,1:47.7,2,15,144.5,40.0,15-15-12-14,栗東松下,490(-20),0,1700,ダート,晴,良
16.0,8,15,サマーナイト,牡3,55.0,田口貫,1:48.4,4,11,54.0,41.7,4-3-4-5,栗東寺島,484(-2),0,1700,ダート,晴,良
